Episodes	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Current bonus	Time
10	-368.57898	305.19547	198.09424	-975.98834	348.2	3481	0.2	9.433750629425049
20	-327.8754	124.2785	-146.16713	-515.1357	141.8	4899	0.2	12.33457088470459
30	-390.12567	124.21781	-60.034454	-554.6113	292.0	7819	0.4	19.81241536140442
40	-301.22705	192.81442	-114.791374	-735.3118	675.7	14576	0.6000000000000001	41.04595947265625
50	-170.91075	53.006474	-114.16268	-287.72562	888.2	23458	1.0	69.86389064788818
60	-136.4416	53.580235	-56.37986	-257.15967	860.3	32061	1.4	98.36864137649536
70	-171.26013	62.507027	-45.141518	-261.9883	841.2	40473	1.7999999999999998	130.48757410049438
80	-172.56442	118.095245	66.92568	-362.07614	636.1	46834	1.9999999999999998	148.8978452682495
90	-79.54353	98.6341	63.439537	-229.15843	683.9	53673	2.1999999999999997	169.57660031318665
100	-126.21655	155.14119	90.149506	-419.58212	413.8	57811	2.4	181.03299283981323
110	-61.036396	107.43009	56.00647	-200.51634	578.5	63596	2.6	196.97714853286743
120	-32.041924	98.62695	85.29596	-200.178	577.3	69369	2.8000000000000003	213.98707008361816
130	-114.56087	115.12445	90.04919	-324.27563	593.1	75300	3.2000000000000006	231.95778059959412
140	23.39791	84.23843	140.29453	-144.82938	691.1	82211	3.400000000000001	254.72542476654053
150	25.201712	88.846664	150.7898	-111.27885	391.3	86124	3.600000000000001	265.9726710319519
160	29.154926	64.4055	142.52295	-66.70376	680.2	92926	3.800000000000001	288.8473379611969
170	-13.889374	91.24483	117.65641	-145.69748	321.9	96145	4.000000000000001	297.340699672699
180	19.532925	79.5492	124.57379	-130.64613	407.7	100222	4.200000000000001	309.23892760276794
190	44.715553	93.605995	151.02097	-155.20808	659.4	106816	4.400000000000001	329.628249168396
200	27.02041	99.129745	133.65318	-174.46294	273.7	109553	4.400000000000001	336.5079643726349
210	60.86773	77.30846	155.51625	-48.413883	316.8	112721	4.600000000000001	345.7344470024109
220	67.51592	81.257484	180.7202	-73.616066	331.1	116032	4.800000000000002	355.1991879940033
230	14.083986	66.45466	130.16992	-81.76547	284.7	118879	4.800000000000002	363.62163519859314
240	53.693504	84.04599	162.68433	-119.370186	339.6	122275	5.000000000000002	373.91548776626587
250	19.454838	86.23796	124.50831	-124.77178	308.1	125356	5.200000000000002	382.65204095840454
260	-6.3185782	91.69914	123.180626	-136.95479	346.7	128823	5.200000000000002	392.2357575893402
270	73.31702	77.4562	138.47603	-60.71578	282.9	131652	5.400000000000002	400.0756254196167
280	106.78137	79.97643	172.23155	-106.7582	347.1	135123	5.600000000000002	410.12825298309326
290	68.50727	120.13601	156.64232	-230.04187	251.6	137639	5.600000000000002	417.1014578342438
300	89.95095	66.578094	152.196	-51.096447	282.0	140459	5.8000000000000025	424.82072257995605
310	54.75048	92.69257	181.92847	-85.07391	276.4	143223	5.8000000000000025	431.8847050666809
320	-24.672123	86.550385	142.42725	-129.11351	228.5	145508	6.000000000000003	438.18614625930786
330	29.000763	132.17545	178.52222	-250.42967	244.4	147952	6.000000000000003	444.34154176712036
340	13.102236	89.88071	162.31343	-89.212036	257.7	150529	6.200000000000003	452.01922249794006
350	8.823057	91.1329	159.48988	-100.80468	210.0	152629	6.200000000000003	457.40276408195496
360	80.74558	82.017586	154.9684	-63.00737	242.2	155051	6.400000000000003	463.65776920318604
370	26.860035	71.28963	125.159836	-42.70981	231.6	157367	6.400000000000003	469.2289035320282
380	44.272346	86.44366	175.96733	-50.43822	219.7	159564	6.400000000000003	474.94586181640625
390	88.59108	102.38078	162.53181	-163.3935	342.2	162986	6.600000000000003	484.63228702545166
400	-5.8881693	156.17085	160.13985	-328.41	324.7	166233	6.800000000000003	493.89651107788086
410	86.54671	93.04154	171.5528	-135.65282	241.9	168652	6.800000000000003	500.0827326774597
420	45.805225	133.27158	173.67053	-245.55595	264.8	171300	7.0000000000000036	507.76513838768005
430	91.588295	89.69027	199.41458	-114.23217	268.0	173980	7.0000000000000036	514.8161625862122
440	-0.4584511	91.53215	147.33398	-117.49346	246.5	176445	7.200000000000004	521.8316645622253
450	22.302296	89.510895	143.48343	-99.801506	352.8	179973	7.200000000000004	531.6145272254944
460	83.58973	71.09623	161.53513	-35.126976	348.7	183460	7.400000000000004	541.6862359046936
470	78.53612	77.23243	149.53876	-63.188095	269.5	186155	7.600000000000004	549.1607141494751
480	88.4333	78.18668	164.31508	-35.69368	260.4	188759	7.600000000000004	555.8665127754211
490	52.91577	118.11738	174.62978	-144.44731	226.5	191024	7.800000000000004	562.3725771903992
500	24.740248	156.67769	160.90791	-320.24814	259.4	193618	8.000000000000004	569.6759827136993
510	58.938427	119.35969	174.19678	-230.12427	264.2	196260	8.200000000000003	576.7759850025177
520	-17.527897	113.63201	163.14491	-183.75543	227.6	198536	8.200000000000003	582.8629233837128
530	-31.07577	90.466545	139.74182	-126.37159	190.5	200441	8.400000000000002	587.8947329521179
540	29.741608	68.56652	125.51806	-56.97465	414.4	204585	8.400000000000002	599.3836331367493
550	11.563606	96.029564	171.82817	-108.91648	189.2	206477	8.600000000000001	604.5590145587921
560	20.218443	119.271126	208.20117	-109.45154	200.9	208486	8.600000000000001	609.5290734767914
570	-3.3966026	95.6455	136.15985	-107.50393	256.2	211048	8.8	616.9178545475006
580	4.4585752	90.10128	146.80977	-92.92285	298.8	214036	8.8	625.5526537895203
590	14.639357	86.97822	147.00076	-101.045555	274.1	216777	9.0	634.3477509021759
600	26.461018	90.18262	170.21695	-102.58936	351.2	220289	9.2	645.6636927127838
610	25.030857	174.28806	172.27406	-416.76755	287.0	223159	9.2	653.3387689590454
620	3.9248786	98.54299	155.70123	-194.86403	215.9	225318	9.399999999999999	659.6929268836975
630	19.369205	91.94181	171.75967	-137.16829	275.4	228072	9.399999999999999	667.4330790042877
640	-1.7887497	137.59921	159.57616	-298.9488	204.5	230117	9.599999999999998	673.137642621994
650	69.37829	88.9687	175.41129	-85.48072	243.7	232554	9.599999999999998	679.4483168125153
660	52.14515	106.26398	161.04987	-134.85225	307.0	235624	9.799999999999997	688.6982748508453
670	-40.61171	74.78807	156.0042	-116.318375	235.3	237977	9.799999999999997	695.6165237426758
680	-19.448172	98.67641	180.51746	-129.85216	197.3	239950	9.799999999999997	700.6473183631897
690	50.63259	98.17261	161.11485	-79.74431	387.6	243826	9.999999999999996	712.6558313369751
700	-5.155604	104.95934	172.87225	-103.80986	286.2	246688	10.199999999999996	720.784943819046
710	-2.6817017	88.874466	141.90166	-122.791756	301.8	249706	10.199999999999996	729.6112580299377
720	32.991608	99.26931	161.07295	-104.72955	286.6	252572	10.399999999999995	738.2492594718933
730	-7.8146105	95.61742	200.34134	-136.75484	273.3	255305	10.599999999999994	747.1840164661407
740	0.6280502	112.553535	167.99518	-111.25042	314.3	258448	10.599999999999994	756.5562310218811
750	7.517146	96.37088	130.0138	-107.39186	288.9	261337	10.799999999999994	765.3947429656982
760	17.245749	104.80272	163.75198	-92.02802	396.5	265302	10.999999999999993	779.3795175552368
770	-8.67739	70.93518	138.0887	-106.35031	306.9	268371	10.999999999999993	788.8972108364105
780	-70.20204	82.86789	92.85459	-234.88547	416.5	272536	11.199999999999992	802.9142761230469
790	-47.718502	97.10603	196.80382	-130.08723	164.8	274184	11.199999999999992	806.8752784729004
800	-129.86555	75.66721	-81.66603	-336.04562	128.7	275471	11.399999999999991	810.8199684619904
810	-46.860207	101.773094	184.38715	-232.5686	282.7	278298	11.399999999999991	818.9516589641571
820	-31.086391	71.08691	161.42175	-92.83935	242.8	280726	11.59999999999999	826.783971786499
830	-22.766365	103.127625	200.70634	-111.782036	241.3	283139	11.59999999999999	834.3375465869904
