Episodes	Epsilon	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
10	0.9806444444444444	-198.19843	92.72535	36.23485	-319.10516	87.2	871	1.8722195625305176
20	0.9604	-255.93103	100.442986	-132.41418	-424.02448	91.1	1782	4.378724813461304
30	0.9397333333333333	-208.51372	91.340706	-92.43816	-356.9141	93.0	2712	6.931336879730225
40	0.9189333333333334	-198.20903	65.93197	-94.084366	-339.2575	93.6	3648	9.48151707649231
50	0.8968222222222222	-193.92784	86.23628	-50.386776	-295.22137	99.5	4643	13.009806632995605
60	0.873688888888889	-189.96895	89.48851	-91.001495	-428.6922	104.1	5684	16.32015061378479
70	0.8521111111111112	-174.70822	105.09562	-75.02487	-424.51788	97.1	6655	19.00890588760376
80	0.8305555555555555	-185.28288	91.07827	15.766406	-361.52713	97.0	7625	21.91319751739502
90	0.8078444444444445	-177.48369	47.805275	-72.343544	-239.16759	102.2	8647	24.83818745613098
100	0.7851777777777778	-172.82254	83.592316	40.254936	-254.99123	102.0	9667	27.836716651916504
110	0.7619111111111111	-190.79907	76.427956	-50.45036	-358.3657	104.7	10714	30.981485843658447
120	0.7380222222222222	-132.57991	55.553593	-36.661976	-217.08829	107.5	11789	33.886218309402466
130	0.7142	-200.19766	78.731865	-56.105145	-310.12045	107.2	12861	37.0856454372406
140	0.6877555555555556	-148.12212	58.56645	-31.368881	-220.26306	119.0	14051	40.476990938186646
150	0.6572888888888888	-174.07268	57.97837	-102.11269	-309.35526	137.1	15422	44.44781708717346
160	0.6065333333333334	-158.38907	93.14234	-26.533724	-379.20004	228.4	17706	52.253605365753174
170	0.5395555555555556	-100.57379	81.28367	27.42033	-270.9191	301.4	20720	62.54098892211914
180	0.4812888888888889	-167.35004	73.18178	-78.81617	-270.96445	262.2	23342	70.48151016235352
190	0.40862222222222233	-191.21439	109.48369	11.358616	-375.4026	327.0	26612	81.60302329063416
200	0.2829555555555556	-173.34956	83.12369	-62.05057	-332.80566	565.5	32267	102.01638746261597
210	0.20046666666666668	-146.67514	100.312294	-14.167151	-298.10196	371.2	35979	115.98722386360168
220	0.1404444444444446	-79.99245	45.606644	-32.103294	-194.60515	270.1	38680	125.93425035476685
230	0.1	-62.158844	31.266016	-16.61773	-104.80314	230.0	40980	133.95329332351685
240	0.1	-55.472313	20.65439	-12.261059	-78.94549	220.2	43182	141.5126645565033
250	0.1	-62.76203	14.858292	-34.220226	-89.46216	255.0	45732	149.99527955055237
